Blue Tractor BBQ & Brewery,419,https://www.yelp.com/biz/blue-tractor-bbq-and-brewery-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Weber's Restaurant,126,https://www.yelp.com/biz/webers-restaurant-ann-arbor-3?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Weber's Inn,201,https://www.yelp.com/biz/webers-inn-ann-arbor-2?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Ruth's Chris Steakhouse,85,https://www.yelp.com/biz/ruths-chris-steakhouse-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Logan Restaurant,212,https://www.yelp.com/biz/logan-restaurant-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Northside Grill,243,https://www.yelp.com/biz/northside-grill-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Mikette Bistro and Bar,109,https://www.yelp.com/biz/mikette-bistro-and-bar-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Knight's Downtown Ann Arbor Steakhouse,166,https://www.yelp.com/biz/knights-downtown-ann-arbor-steakhouse-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Bell's Diner,137,https://www.yelp.com/biz/bells-diner-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
The West End Grill,79,https://www.yelp.com/biz/the-west-end-grill-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Melange,203,https://www.yelp.com/biz/melange-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Slurping Turtle,390,https://www.yelp.com/biz/slurping-turtle-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Bella Ciao Trattoria,10,https://www.yelp.com/biz/bella-ciao-trattoria-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Grange Kitchen & Bar,261,https://www.yelp.com/biz/grange-kitchen-and-bar-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Black Pearl Ann Arbor,212,https://www.yelp.com/biz/black-pearl-ann-arbor-ann-arbor-2?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
Totoro,200,https://www.yelp.com/biz/totoro-ann-arbor?adjust_creative=eqibjGQIMt0Uy-zkFVOsow&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=eqibjGQIMt0Uy-zkFVOsow
